osm_id,name,type
"230810314",,farmland
"230812236",,meadow
"230812241",,meadow
"230812246",,farmland
"230812254",,farmland
"230816529",,farmland
"230816531",,meadow
"230816533",,meadow
"230816536",,meadow
"230816541",,meadow
"230816542",,meadow
"230816543",,meadow
"230816545",,farmland
"230816546",,meadow
"230816547",,farmland
"230816549",,farmland
"230816552",,meadow
"230816553",,meadow
"230816554",,meadow
"230816555",,farmland
"230816557",,quarry
"230816559",,meadow
"230816563",,meadow
"230818887",,meadow
"230818888",,meadow
"230818891",,farmland
"230819315",,farmland
"230823968",,farmland
"230823970",,meadow
"230823971",,meadow
"230823975",,meadow
"230827821",,farmland
"230827824",,meadow
"230827825",,meadow
"230827826",,farmland
"230827828",,meadow
"230827830",,meadow
"230827832",,meadow
"230827834",,meadow
"230827835",,farmland
"230827836",,meadow
"230827837",,meadow
"230827838",,farmland
"230827839",,quarry
"230827840",,farmland
"230827842",,meadow
"230827843",,farmland
"230828059",,meadow
"230828251",,farmland
"230828252",,farmland
"230828361",,meadow
"230829378",,meadow
"230829777",,meadow
"230829995",,meadow
"230830346",,farmland
"230830347",,farmland
"230830348",,meadow
"230833234",,meadow
"230833235",,meadow
"230833236",,quarry
"230833251",,meadow
"230833255",,quarry
"230833258",,meadow
"230833264",,quarry
"230833268",,farmland
"230833271",,farmland
"230833275",,meadow
"230833278",,meadow
"230833282",,meadow
"230833285",,meadow
"230834027",,meadow
"230834221",,meadow
"230834300",,farmland
"230834376",,farmland
"230837076",,residential
"230837078",,farmland
"230837079",,farmland
"230837081",,farmland
"230841045",,farmyard
"230841046",,farmyard
"230841047",,residential
"230841048",,farmland
"230841049",,meadow
"230841050",,industrial
"230841051",,landfill
"230841053",,industrial
"230841055",,farmland
"230852941",,farmland
"230853943",,meadow
"230853945",,residential
"230853946",,meadow
"230858199",,residential
"230858201",,residential
"230862387",,graveyard
"230862389",,farmland
"230862390",,meadow
"230862391",,meadow
"230862392",,farmland
"230862393",,farmland
"230862394",,farmland
"230862395",,farmland
"230862396",,farmland
"230862399",,landfill
"230862401",,meadow
"230862402",,meadow
"230862403",,meadow
"230862405",,farmland
"230862406",,meadow
"230862981",,meadow
"230862984",,meadow
"230868446",,landfill
"230868448",,industrial
"230868449",,residential
"230868451",,meadow
"230868452",,meadow
"230868453",,meadow
"230868457",,farmland
"230868458",,farmland
"230868459",,meadow
"230868460",,residential
"230868467",,meadow
"230868469",,military
"230869232",,farmland
"230869233",,farmyard
"230869234",,meadow
"230869259",,residential
"230870416",,industrial
"230872785",,meadow
"230872788",,industrial
"230874723",,farmland
"230874725",,farmland
"230874726",,farmland
"230874727",,meadow
"230879367",,farmland
"230879368",,residential
"230879369",,meadow
"230879370",,meadow
"230879371",,farmland
"230879372",,meadow
"230880369",,meadow
"230880370",,meadow
"230880372",,meadow
"230880374",,meadow
"230880375",,meadow
"230880377",,meadow
"230880379",,meadow
"230880381",,meadow
