osm_id,name,type
"121513065",Клевер мк,
"121513066",,
"121513067",,
"121513068",,
"121513069",,
"121513070",,
"121513071",,
"121513072",,
"121513073",,
"121513074",,
"121513075",,
"121513077",,
"121513078",,
"121513079",,house
"121513080",,
"121513081",,
"121513082",,
"121513083",,
"121513084",,
"121513085",,
"121513086",,
"121513087",,
"121652407",Билна Аптека,pharmacy
"121657992",Ромео и Јулија,
"122860489",,
"122862785",Мечос,restaurant
"122865745",,
"122866290",Дуна Компјутери,office
"122867604",,apartments
"122867988",,
"122868894",Медиа Арт Студио,school
"122876772",Евангелска црква,
"122880650",,
"122883088",,
"122883935",,
"122884569",,
"122884975",Златен Клас,
"122885860",Средно уметничко училиште,school
"122886481",Романија,office
"122886490",,
"122886569",Панко,
"122886570",,
"122886576",,
"122886703",,
"122886752",,
"122967232",,
"122969884",,
"122970332",,detached
"122970334",,detached
"122970335",,detached
"122970841",,
"122970842",,
"122970844",,
"122970845",,
"122970846",,
"122971211",,
"122973013",,
"122973015",,
"122973017",Ординација Илковски,
"122973019",,house
"122973021",,detached
"122973024",,
"122975873",,
"122975874",,
"122975875",,
"122976440",,kindergarten
"122983055",,detached
"122991212",,house
"122991213",,
"122991214",,
"122991215",,
"122991261",,house
"122991959",,
"122992319",,apartments
"122992320",,apartments
"122992664",,
"122992665",,
"122993237",,
"122993238",,
"122993239",,
"122993240",,
"122993242",,
"122993243",,
"122993244",,
"122993245",,
"122993246",,
"122993247",,
"122993248",,
"122993658",,apartments
"122993666",,apartments
"122993786",,apartments
"122993840",,apartments
"122993886",,apartments
"122995798",,apartments
"122995799",,apartments
"122995868",,apartments
"122996059",,apartments
"122996179",,apartments
"122996394",,apartments
"122996593",,
"122996638",,
"122996719",,
"122998643",,
"122998644",,
"122998645",,
"122999976",,
"122999977",,
"123004295",ЈП Улици и патишта,public
"123008849",Министерство за Култура,commercial
"123009050",,apartments
"123155260",,
"123273629",,place_of_worship
"123273632",,
"123273633",Orce Nikolov,kindergarten
"123273638",Манастир Св. Пантелејмон,monastery
"123273648",Хотел Карпош,hotel
"123273649",,
"123273650",,
"123273652",Super 8,hotel
"123273654",Св.Пантелејмон - Клет,restaurant
"123273657",,
"123273659",,
"123660973",,
"123660975",,
"123660976",,
"123661035",,
"123661036",,
"123661037",,
"123661274",,
"123661275",,
"123661276",,
"123661277",,
"123662068",,
"124047331",Водоводни Пумпи,
"124053422",АБЦ-Бротхер,shop
"126355599",Кадис,
"127317975",,
"127317976",,
"127317977",,
"127318045",,
"127318046",,
"127318047",,
"127318302",,
"127318303",,
"127318304",,
"127318305",,
"127318306",,
"127318307",,
"127318569",,
"127318570",,
"127318572",,
"127318681",,
"127324913",,
"127324914",,
"127324915",,
"127325217",,
"127325219",,
"127325221",,
"127325222",,
"127325225",,
"127325229",,
"127325230",,
"127325231",,
"127328364",,
"127328365",,
"127328366",,
"127328367",,
"127328368",,
"127328369",,
"127328370",,
"127328372",,
"127328375",,
"127328377",,
"127328378",,
"127328379",,
"127328380",,
"127328381",,
"127328382",,
"127328383",,
"127328384",,
"127328385",,
"127328386",,
"127329253",,
"127517678",,
"127517680",,
"127517683",,
"127517685",,
"127517686",,
"127517689",,
"127517690",,
"127517693",,
"127517695",,
"127517696",,
"127517699",,
"127517701",,
"127517702",,
"127517705",,
"127517707",,
"127517710",,
"127517711",,
"127517713",,
"127517714",,
"127517716",,
"127517717",,
"127517721",,
"127517723",,
"129833317",,
"129833318",,
"129833319",ArcelorMittal CRM,industrial
"129833320",,
"129833321",,
"129833322",,
"129833323",,
"129833324",,
"129833325",,
"129833326",,
"129833327",,
"129833328",,
"129833329",,
"129833330",,
"129833331",,
"129833332",,
"129833333",,
"129833334",,
"129833335",,
"129833336",ArcelorMittal HRM,industrial
"129833337",,
"129833338",,
"129835234",,
"129835235",,
"129835236",,
"129835237",,
"129835238",,
"129835239",,
"129835240",,warehouse
"129835241",,
"129835242",,
"129835243",,
"129835244",,
"129835245",,
"129835246",,
"129835247",,
"130081233",,
"130081234",,
"130081235",,
"130081236",,
"130081237",,
"130081238",,
"130081239",,
"130081240",,
"130081241",,
"130081242",,
"130081243",,
"130081244",,
"130081245",,
"130081246",,
"130126298",,
"130512123",,
"130512124",,
"131547185",Кривичен Суд,construction
"132762318",,
"132768823",Horizonti,
"134051693",,storage_tank
"134051696",,storage_tank
"134051699",,
"134051700",,
"134051704",,
"134051707",,
"134051708",,
"134051711",,
"134051716",,
"134051718",,
"134051720",,
"134051721",,
"134051722",,
"134051724",,
"134051726",,
"134051728",,
"134051730",,
"134051731",,storage_tank
"134051733",,
"134051736",,storage_tank
"134051738",,storage_tank
"134112714",,
"134112719",,commercial
"134112722",,
"134112723",,
"134161251",Волково,train_station
"134206349",,
"134206350",,
"134206351",,
"134206352",,
"134206353",,
"134206354",,
"134206392",,
"134206393",,
"134282945",,
"134282946",,
"134282949",,
"134282950",,
"134282951",,
"134282955",,
"134282957",,
"134282960",,
"134282964",,
"134282965",,
"134282966",,
"134283601",,
"134283602",,
"134283603",,
"134283606",,
"134283607",,
"134283608",Sportska Sala,
"134283611",,
"136167846",,
"136172516",,
"136172517",,
"136172518",,
"136172520",,
"136172521",,
"136172523",,
"136172524",,
"136172526",,
"136172826",,
"136172827",,
"136172829",,
"136173361",,
"136173362",,
"136173363",,
"136173510",,
"136174325",,
"136174326",,
"136174332",,
"136174335",,
"136174336",,
"136174337",,
"136174339",,
"136175226",,
"136175227",,
"136175228",,
"136175229",,
"136175230",,
"136175231",,
"136175232",,
"136175233",,
"136175234",,
"136287456",,
"136291995",,
"136291996",,
"136291997",,
"136291998",,
"136291999",,
"136292000",,
"136293819",,
"136293820",,
"136293973",,residential
"136293974",,residential
"136294421",,
"136294422",,
"136294423",,
"136294424",,
"136294425",,
"136294426",,
"136294919",,
"136294920",,
"136294921",,
"136295160",Ролетар Војо,
"138258412",,
"138258663",,
"138258664",,school
"138698746",,office
"141969825",Cханти Хостел,hostel
"141969854",,
"142878013",,
"142878016",,
"142878457",,
"143029653",,
"143029678",,
"143030140",,
"143030247",,
"143030463",,
"143030603",,
"143033772",Рамос Илијадис играчки,
"143040636",,
"143042816",,
"143042831",,
"143042981",,
"143044097",,
"143044162",,
"143207597",,
"143207719",,
"143949299",,
"143949301",,
"143951602",,
"144077935",,
"144077936",,
"144078074",,
"144078328",,
"144078329",,
"144078382",,
"144078383",,
"144078384",,
"144078444",,
"144078451",,
"144078510",,
"144080018",,dentist
"144080019",,
"144204243",,
"144204244",,
"144204245",Рептил,
"144204246",,
"144204247",,
"144204249",,
"144204250",,
"144204252",,
"144204253",,
"144204357",,
"144204359",,
"144204361",,
"144204362",,
"144759771",Скопје,roof
"146380596",,apartments
"147144934",,
"147144970",,
"147145064",Швајцарска резиденција,house
"148478856",,commercial
"148479280",,commercial
"148479651",,
"148788144",,
"148788659",,
"148788846",Графохартија,office
"148795699",,
"149144597",,retail
"149356745",,commercial
"149357681",,commercial
"151212910",Аристократ палас,hotel
"151213175",,
"151487493",,
"151487693",,
"151487921",,
"151487922",,
"151489027",,
"151583100",Др.Рубина,house
"152447954",,
"152447996",,
"152448544",,
"152448583",,
"152450130",,
"152450854",Рентген Дијагностика - Тол,doctors
"152450855",,
"152450856",,
"152451095",Виталија,
"152451141",,
"152451311",,
"152451438",,
"152451733",,
"152453155",,
"152453156",,
"152453335",,
"152453354",Зелс,public
"152453735",Евро сет Хотел,hotel
"152453780",Портал хотел,hotel
"152453909",,house
"152613409",,house
"152613695",,house
"152613727",,detached
"152613749",,detached
"152613816",,detached
"152613830",,detached
"152613969",,detached
"152614106",,detached
"152614110",,detached
"152614262",Весна фарм,detached
"152614531",,detached
"152614923",,
"152615522",,detached
"152615523",,detached
"152615704",,detached
"152615769",Инвалидска комисија,
"152809021",Бизнис Центар - Synergy,office
"154287711",Павле Илич 8,
"154288502",,residential
"154288568",,residential
"154853853",,
"154854157",,
"154854159",,
"154861727",,
"154862513",,
"154862893",,
"154862894",,
"154862916",,
"154862928",,
"154864428",,
"154865318",,
"154868856",,
"154868857",,
"154868858",,
"154869854",,
"154869856",,
"154870541",,
"154870542",,
"154870543",,
"154870544",,
"154870546",,
"154870547",,
"154874551",,
"155686282",IMPEX Dimitar,
"155686284",Millenium,nightclub
"155686287",,house
"155776135",,
"155776136",,
"155776137",,
"155776138",,
"155776139",,
"155776165",,
"155776481",,
"155776482",,
"155776483",,
"155776484",,
"155776485",,
"155781253",,
"155781523",,
"155781606",,
"155781619",,
"155782233",,
"155782305",,
"156306777",,
"156306778",,
"156308431",,
"156308432",,
"157552037",Survalent Technology Corporation,office
"161469328",,farm
"161470053",Farma na Borko-Kuckovo,farm
"161472697",Farma na Dime,farm
"161538984",,
"161539986",,
"161539987",,
"161539988",,
"161539989",,
"161539990",,
"161539991",,
"161539992",,
"161539993",,
"163003845",Рептил,
"163003846",Фармацевтски Факултет,university
"163003847",,
"163003848",,
"163003849",,
"163003850",,
"163003851",Гиго,
"163003852",,
"163003853",ОУ „Кузман Јосифовски - Пи,school
"163003854",,
"163003855",,
"163003856",,
"163003857",,
"163003858",,residential
"163003860",,
"163003861",,
"163003862",,
"163003863",,
"163003864",,
"163003865",,
"163003866",,
"163003867",,
"163004438",,
"163004439",Макпетрол,fuel
"163004528",,
"163004529",,
"163005132",,
"163023490",,
"163023492",,
"163023493",,
"163023495",,
"163023496",Градинка Весели Цветови,
"163023500",,
"163023502",,
"163023504",,
"163023507",,
"163023511",,
"163023512",,
"163023513",,
"163023514",,
"163025974",,
"163025975",,apartments
"163025976",Гралска библиотека браќа,civic
"163025978",,
"163025979",,
"163025980",,
"163025981",Coffee Factory,cafe
"163025983",,
"163025984",,
"163026364",,
"163026365",,
"163026368",,
"163026369",,
"163026370",,
"163026372",,
"163026373",,
"163026374",,
"163027018",Шпаркасе,
"163027019",Архитектонски Факултет,university
"163029750",,shop
"163029751",,
"163029752",,
"163029827",,
"163061295",,
"163061302",,
"163061814",,
"163061815",,
"163062258",,
"163062259",,
"163062260",,
"163062261",,
"163062262",,
"163062263",цреша бар,bar
"163062264",,
"163062265",,
"163062267",,apartments
"163062268",,parking
"163269947",,
"163269949",,
"163279467",Дувет,hotel
"163280707",,
"163280710",,
"163280712",,
"163283874",,apartments
"163371769",,
"164191033",Др. Анчевски,hospital
