osm_id,name,ref,type,oneway,bridge,maxspeed
"32560953",Лука Геров,,tertiary,"0","0","50"
"32560999",Исаија Мажовски,,residential,"0","0",
"32561033",Смолјани,,residential,"0","0",
"32561035",Мајски Манифест,,residential,"0","0",
"32561036",Мис Стон,,tertiary,"0","0",
"32561042",Вера Циривири Трена,,residential,"0","0",
"32561069",Христо Батанџиев,,residential,"0","0",
"32561071",Чакреви,,residential,"0","0",
"32561073",Никола Пушкаров,,residential,"0","0",
"32561112",Никола Вукмировиќ,,residential,"0","0",
"32561129",Георги Казепов,,residential,"0","0",
"32561132",Мечкин Камен,,residential,"0","0",
"32561472",Ѓуро Салај,"1261",tertiary,"0","0","30"
"32561483",Стоби,"1271",residential,"0","0",
"32561521",Никола Пушкаров,,pedestrian,"0","0",
"32561525",,,residential,"0","0",
"32561532",Македонска Преродба,,residential,"0","0",
"32561538",,,residential,"0","0",
"32561574",Апостол Петков,,residential,"0","0",
"32561587",Атанас Коцарев,,residential,"0","0",
"32566239",Ферид Бајрам,,secondary,"0","0","50"
"32566264",Втора Македонска Бригада,,tertiary,"0","0","50"
"32566306",Методија Митевски,,residential,"0","0",
"32566348",Ul Качанички пат,,unclassified,"0","0",
"32566392",,,unclassified,"0","0",
"32566439",,,service,"0","0",
"32566443",,,service,"0","0",
"32605437",Индустриска,,unclassified,"0","0",
"32605438",,,service,"0","0",
"32605440",Улица 808,,residential,"0","0",
"32648945",,,tertiary_link,"0","0",
"32648955",,,tertiary,"0","0",
"32648956",,,residential,"0","0",
"32648957",,,residential,"0","0",
"32649172",Франк Харкорт Манинг,,residential,"0","0",
"32652350",,,residential,"0","0",
"32652357",,,residential,"0","0",
"32652596",Мариовска,,residential,"0","0",
"32657732",Бледски Договор,,tertiary,"0","0",
"32657744",,,service,"0","0",
"32657835",Улица 1,,tertiary,"0","0",
"32657982",Скупи 20,,residential,"0","0",
"32658172",Скупи 6,,residential,"0","0",
"32658210",скупи 22,,residential,"0","0",
"32659462",,,service,"0","0",
"32668628",Палмиро Тољати,,residential,"0","0",
"32668646",Палмиро Тољати,,residential,"0","0",
"32668684",Палмиро Тољати,,residential,"0","0",
"32668688",Палмиро Тољати,,residential,"0","0",
"32669581",Палмиро Тољати,,residential,"0","0",
"32669749",Палмиро Тољати,,residential,"0","0",
"32669781",Методија Андонов Ченто,,residential,"0","0",
"32669848",Палмиро Тољати,,residential,"0","0",
"32669865",,,path,"0","0",
"32669872",,,path,"0","0",
"32671519",,,service,"0","0",
"32671566",,,residential,"0","0",
"32671721",Анкарска,,residential,"1","0",
"32671771",Бахар Моис,,residential,"1","0",
"32671788",Панче Пешев,,service,"0","0",
"32675044",Букурешка,,residential,"0","0","30"
"32675090",Његошева,,residential,"0","0",
"32675098",Његошева,,residential,"0","0",
"32675220",Мокра,,residential,"0","0",
"32675298",Теодосиј Синаитски,,residential,"0","0",
"32675329",Трнодол,,residential,"0","0",
"32675339",Кнез Хацон,,residential,"0","0",
"32675340",Лесновска,,residential,"0","0",
"32675350",Кнез Трпимир,,residential,"0","0",
"32675351",Презвитер Константин,,residential,"0","0",
"32675409",Рафаел Батино,,residential,"0","0",
"32677066",Девол,,residential,"0","0",
"32677067",Његошева,,residential,"0","0",
"32677144",Мајка Тереза,"A2;A4",motorway,"1","0","120"
"32687657",50-та дивизија,,service,"1","0",
"32687670",,,service,"0","0",
"32687675",,,service,"0","0",
"32687706",,,service,"0","0",
"32687715",,,service,"0","0",
"32687732",,,service,"0","0",
"32687741",,,service,"0","0",
"32687750",,,service,"0","0",
"32688340",,,service,"0","0",
"32688451",,,service,"0","0",
"32688470",,,service,"0","0",
"32688681",,,service,"0","0",
"32688698",,,service,"0","0",
"32689197",Димче Мирчев,,residential,"0","0",
"32689632",,,service,"0","0",
"32697008",,,service,"0","0",
"32697026",,,footway,"0","0",
"32697036",,,service,"0","0",
"32697045",,,steps,"0","0",
"32705211",,,footway,"0","0",
"32705219",,,footway,"0","0",
"32705235",,,footway,"0","0",
"32705256",,,footway,"0","0",
"32705259",,,footway,"0","0",
"32705269",,,footway,"0","0",
"32705287",,,footway,"0","0",
"32705315",,,footway,"0","0",
"32705435",,,footway,"0","0",
"32705474",,,footway,"0","0",
"32727643",Крсто Раковски,,residential,"0","0",
"32729057",Рокомија,,residential,"0","0",
"32729065",Александар Турунџев,,residential,"0","0",
"32729118",Иван Манолев,,residential,"0","0",
"32729147",,,residential,"0","0",
"32729172",,,residential,"0","0",
"32784410",,,footway,"0","0",
"32784419",,,footway,"0","0",
"32784430",,,footway,"0","0",
"32784435",,,footway,"0","0",
"32784731",Радика,,residential,"0","0",
"32784812",,,unclassified,"0","0",
"32784824",,,service,"0","0",
"32784841",,,service,"0","0",
"32787306",Бојаџиска,,pedestrian,"0","0",
"32787390",Градиште,,pedestrian,"0","0",
"32787438",Самарџиска,,pedestrian,"0","0",
"32787441",Петар Минов,,pedestrian,"0","0",
"32787480",Св. Прохор Пчињски,,residential,"0","0",
"32787518",Св.Прохор Пчински,,residential,"0","0",
"32787601",Григор Прличев Grigor Prlichev,,residential,"1","0",
"32787602",Глигор Прличев,,residential,"1","0",
"32787783",Петнаесети Корпус,,service,"0","0",
"32788210",,R2138,tertiary,"0","0",
"32806093",Гаврил Константиновиќ,,tertiary,"1","0","30"
"32806116",Димитар Благоев,,residential,"0","0",
"32806124",Архитект Сотир Томовски,,residential,"0","0",
"32806135",Гаврил Константиновиќ,,residential,"0","0",
"32806145",Ернест Телман,,residential,"0","0",
"32806187",Ѓорге Андреевиќ - Кун,,residential,"0","0",
"32806213",,R1106,secondary,"0","0",
"32811272",Божидар Аџија,,pedestrian,"0","0",
"32811302",,,pedestrian,"0","0",
"32811309",Сарачка,,pedestrian,"0","0",
"32812849",,,residential,"0","0",
"32812853",Алберт Станиќ,,living_street,"0","0",
"32812856",Азем Хајдари,,living_street,"0","0",
"32812886",Ковачка,,pedestrian,"0","0",
"32812915",Свеќарска,,residential,"1","0",
"32812924",Опинчарска,,residential,"0","0",
"32813224",Кримска,,living_street,"0","0",
"32813308",Кумбара,,residential,"0","0",
"32813506",,,service,"0","0",
"32813517",,,footway,"0","0",
"32813576",,,footway,"0","0",
"32813700",,,footway,"0","0",
"32813746",,,footway,"0","0",
"32813898",Славе Деловски,,residential,"1","0",
"32817112",Лазар Димитров,,residential,"0","0",
"32817120",Петар Драпшин,,residential,"0","0",
"32817140",ЕВтим Спростанов,,residential,"0","0",
"32817147",Трајко Иванов,,residential,"0","0",
"32817213",Лав Толстој,,residential,"0","0",
"32817294",Спиро Гулапчев,,residential,"0","0",
"32817423",Христо Татарчев 13,,residential,"0","0",
"32817457",,,residential,"0","0",
"32817489",,,residential,"0","0",
"32817605",,,residential,"0","0",
"32818055",,,residential,"0","0",
"32818059",,,residential,"0","0",
"32818135",Финска,,residential,"0","0",
"32818141",Сречко Пужаљка,,residential,"0","0",
"32818217",Товарник,,residential,"0","0",
"32818358",Јужноморавски Бригади,,residential,"0","0",
"32818444",Алија Авдовиќ,,tertiary,"0","0",
"32818470",Дурмиторска,"859",residential,"0","0",
"32818512",Јужноморавски бригади,"858",residential,"0","0",
"32818527",Жегљане,"857",residential,"0","0",
"32818627",13 Август - Охридски Догово,,residential,"0","0",
"32818640",,,residential,"0","1",
"32818673",,"912",residential,"0","0",
"32818686",Хритифор Жефаровиќ,"871",residential,"0","0",
"32818886",Његошева,,residential,"0","0",
